order_id,order_hour,order_dayofweek,is_weekend,is_peak_hour,sla_slack_min,delay_risk
1961864118,8,2,0,0,18.0,0
1549769649,13,1,0,1,11.0,1
9185164487,13,0,0,1,18.0,1
9644738826,16,4,0,0,18.0,0
5427684290,5,0,0,0,17.0,1
3265154092,16,5,1,0,20.0,0
4898355547,18,6,1,1,11.0,1
6568151549,6,6,1,0,11.0,1
6006693867,23,3,0,0,13.0,1
374186990,1,2,0,0,20.0,1
4455336265,19,2,0,1,10.0,0
3539286337,20,1,0,1,12.0,0
9171116867,11,6,1,0,10.0,2
5504941865,2,6,1,0,16.0,2
5868326481,21,4,0,1,17.0,0
2137046916,8,5,1,0,13.0,0
8195544338,4,2,0,0,17.0,1
2889700050,16,1,0,0,11.0,1
65827885,0,3,0,0,12.0,0
4656471694,8,5,1,0,19.0,1
6625178717,4,5,1,0,16.0,2
7169557514,5,1,0,0,11.0,2
2268306684,14,1,0,0,12.0,0
6905293278,10,6,1,0,13.0,2
1769493463,7,2,0,0,16.0,0
5003387344,10,6,1,0,12.0,0
2064484752,22,1,0,0,18.0,0
964822979,10,5,1,0,11.0,0
6037899648,17,2,0,0,16.0,1
9347571484,17,5,1,0,11.0,2
3286177534,23,5,1,0,17.0,0
9073572548,23,1,0,0,12.0,2
8395583761,23,6,1,0,18.0,0
6355378227,16,4,0,0,14.0,0
277376321,4,6,1,0,20.0,0
8559748526,18,2,0,1,20.0,1
1458051433,9,4,0,0,16.0,0
5838302640,5,4,0,0,16.0,1
1380971977,13,6,1,1,17.0,0
1221099013,10,6,1,0,16.0,1
6771166303,4,0,0,0,15.0,2
7111337755,5,5,1,0,15.0,0
5562922993,2,2,0,0,10.0,1
5630957897,7,1,0,0,15.0,1
1787380558,17,2,0,0,19.0,1
32613017,0,4,0,0,16.0,0
2039041670,9,4,0,0,20.0,2
210693801,3,2,0,0,11.0,1
8120002258,0,0,0,0,10.0,0
2177917034,20,3,0,1,13.0,1
4254814926,6,6,1,0,20.0,0
6074172790,2,2,0,0,11.0,1
3381573131,0,1,0,0,14.0,0
3773745777,14,3,0,0,18.0,0
9251939156,12,5,1,1,12.0,1
3872982303,1,5,1,0,20.0,1
2625987757,7,1,0,0,12.0,1
3162249401,13,4,0,1,10.0,0
3108986741,19,1,0,1,14.0,1
1851474741,13,2,0,1,13.0,1
2425099132,1,1,0,0,15.0,1
6706793332,21,2,0,1,14.0,2
2149289255,15,4,0,0,20.0,2
1971008155,22,0,0,0,20.0,0
2087093460,11,3,0,0,11.0,0
2116712588,20,5,1,1,15.0,1
6054358790,10,4,0,0,20.0,0
532660797,6,0,0,0,12.0,2
1491991005,8,0,0,0,12.0,0
4136019599,18,5,1,1,14.0,1
2122832513,19,5,1,1,10.0,2
3717703595,21,0,0,1,19.0,0
3194733693,10,2,0,0,17.0,1
4471162437,12,1,0,1,14.0,0
1609331948,14,3,0,0,13.0,0
6920030794,2,0,0,0,14.0,0
5127172657,18,1,0,1,19.0,2
8607115856,4,0,0,0,10.0,0
7154957395,10,6,1,0,11.0,0
2070762702,10,2,0,0,17.0,2
3697242439,12,1,0,1,17.0,0
3063427913,2,3,0,0,17.0,1
2060061337,22,5,1,0,14.0,2
4625892678,19,6,1,1,12.0,1
6045698170,17,2,0,0,11.0,1
7876289647,7,2,0,0,11.0,2
3434084714,2,4,0,0,12.0,0
9031695663,1,2,0,0,12.0,1
1955989715,6,2,0,0,14.0,1
3459500455,0,0,0,0,15.0,1
5953376503,3,5,1,0,15.0,2
121874867,0,1,0,0,17.0,0
